RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-10-15 02:09:30,64,0,IDPACT,7409974,A,1,          ,60002938,02046313SKY314A,,200000
MR,2,2024-10-15 02:09:30,0A,31,IDPMMF,7409974,L,20,          ,60002938,02046313SKY314A,,52800
MA,3,2024-10-15 02:26:11,96,2,IDPDAT,17764474099,Y,110,  70002938,60002938,02046313SKY314A,APACRB7,0
MR,4,2024-10-20 23:37:10,65,0,IDPDCT,7427004,A,1,          ,60002938,02046313SKY314A,,0
