RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-10-25 00:10:54,64,0,IDPACT,7436717,A,1,          ,60002694,01680371SKY6DFC,,200000
MR,2,2024-10-25 00:10:54,0A,31,IDPMMF,7436717,L,23,          ,60002694,01680371SKY6DFC,,50600
MR,3,2024-10-25 00:10:55,64,0,IDPACT,7436718,A,1,          ,60002694,01796694SKY59EB,,200000
MR,4,2024-10-25 00:10:55,0A,31,IDPMMF,7436718,L,23,          ,60002694,01796694SKY59EB,,50600
MR,5,2024-10-25 00:10:55,64,0,IDPACT,7436719,A,1,          ,60002694,01675102SKY3313,,200000
MR,6,2024-10-25 00:10:55,0A,31,IDPMMF,7436719,L,23,          ,60002694,01675102SKY3313,,50600
MR,7,2024-10-25 00:10:55,64,0,IDPACT,7436720,A,1,          ,60002694,01802768SKYB88D,,200000
MR,8,2024-10-25 00:10:55,0A,31,IDPMMF,7436720,L,23,          ,60002694,01802768SKYB88D,,50600
MR,9,2024-10-25 00:10:55,64,0,IDPACT,7436721,A,1,          ,60002694,01680685SKY5C1E,,200000
MR,10,2024-10-25 00:10:55,0A,31,IDPMMF,7436721,L,23,          ,60002694,01680685SKY5C1E,,50600
MR,11,2024-10-25 00:10:55,64,0,IDPACT,7436722,A,1,          ,60002694,01675120SKY7B6D,,200000
MR,12,2024-10-25 00:10:55,0A,31,IDPMMF,7436722,L,23,          ,60002694,01675120SKY7B6D,,50600
MR,13,2024-10-25 00:10:55,64,0,IDPACT,7436723,A,1,          ,60002694,01675073SKY3E82,,200000
MR,14,2024-10-25 00:10:55,0A,31,IDPMMF,7436723,L,23,          ,60002694,01675073SKY3E82,,50600
MR,15,2024-10-25 00:10:55,64,0,IDPACT,7436724,A,1,          ,60002694,01901058SKY0047,,200000
MR,16,2024-10-25 00:10:55,0A,31,IDPMMF,7436724,L,23,          ,60002694,01901058SKY0047,,50600
MR,17,2024-10-25 00:10:55,64,0,IDPACT,7436725,A,1,          ,60002694,01675078SKYD29B,,200000
MR,18,2024-10-25 00:10:55,0A,31,IDPMMF,7436725,L,23,          ,60002694,01675078SKYD29B,,50600
MR,19,2024-10-25 00:10:56,64,0,IDPACT,7436726,A,1,          ,60002694,01696790SKYBAAB,,200000
MR,20,2024-10-25 00:10:56,0A,31,IDPMMF,7436726,L,23,          ,60002694,01696790SKYBAAB,,50600
MR,21,2024-10-25 00:10:56,64,0,IDPACT,7436727,A,1,          ,60002694,01675099SKYA704,,200000
MR,22,2024-10-25 00:10:56,0A,31,IDPMMF,7436727,L,23,          ,60002694,01675099SKYA704,,50600
MR,23,2024-10-25 00:10:56,64,0,IDPACT,7436728,A,1,          ,60002694,01696744SKY01C5,,200000
MR,24,2024-10-25 00:10:56,0A,31,IDPMMF,7436728,L,23,          ,60002694,01696744SKY01C5,,50600
MR,25,2024-10-25 00:10:56,64,0,IDPACT,7436729,A,1,          ,60002694,01696754SKY29F7,,200000
MR,26,2024-10-25 00:10:56,0A,31,IDPMMF,7436729,L,23,          ,60002694,01696754SKY29F7,,50600
MR,27,2024-10-25 00:10:56,64,0,IDPACT,7436730,A,1,          ,60002694,01680633SKY8B1A,,200000
MR,28,2024-10-25 00:10:56,0A,31,IDPMMF,7436730,L,23,          ,60002694,01680633SKY8B1A,,50600
MR,29,2024-10-25 00:10:56,64,0,IDPACT,7436731,A,1,          ,60002694,01675085SKY6EBE,,200000
MR,30,2024-10-25 00:10:56,0A,31,IDPMMF,7436731,L,23,          ,60002694,01675085SKY6EBE,,50600
MR,31,2024-10-25 00:10:56,64,0,IDPACT,7436732,A,1,          ,60002694,01680641SKYAB42,,200000
MR,32,2024-10-25 00:10:56,0A,31,IDPMMF,7436732,L,23,          ,60002694,01680641SKYAB42,,50600
MR,33,2024-10-25 00:10:56,64,0,IDPACT,7436733,A,1,          ,60002694,01675108SKY4B31,,200000
MR,34,2024-10-25 00:10:56,0A,31,IDPMMF,7436733,L,23,          ,60002694,01675108SKY4B31,,50600
MR,35,2024-10-25 00:10:57,64,0,IDPACT,7436734,A,1,          ,60002694,01675020SKYE979,,200000
MR,36,2024-10-25 00:10:57,0A,31,IDPMMF,7436734,L,23,          ,60002694,01675020SKYE979,,50600
MR,37,2024-10-25 00:10:57,64,0,IDPACT,7436735,A,1,          ,60002694,01680677SKY3BF6,,200000
MR,38,2024-10-25 00:10:57,0A,31,IDPMMF,7436735,L,23,          ,60002694,01680677SKY3BF6,,50600
MR,39,2024-10-25 00:10:57,64,0,IDPACT,7436736,A,1,          ,60002694,01675118SKY7363,,200000
MR,40,2024-10-25 00:10:57,0A,31,IDPMMF,7436736,L,23,          ,60002694,01675118SKY7363,,50600
MR,41,2024-10-25 00:10:57,64,0,IDPACT,7436737,A,1,          ,60002694,01680687SKY6428,,200000
MR,42,2024-10-25 00:10:57,0A,31,IDPMMF,7436737,L,23,          ,60002694,01680687SKY6428,,50600
MR,43,2024-10-25 00:10:57,64,0,IDPACT,7436738,A,1,          ,60002694,01675079SKY56A0,,200000
MR,44,2024-10-25 00:10:57,0A,31,IDPMMF,7436738,L,23,          ,60002694,01675079SKY56A0,,50600
MR,45,2024-10-25 00:10:57,64,0,IDPACT,7436739,A,1,          ,60002694,01680631SKY8310,,200000
MR,46,2024-10-25 00:10:57,0A,31,IDPMMF,7436739,L,23,          ,60002694,01680631SKY8310,,50600
MR,47,2024-10-25 00:10:58,64,0,IDPACT,7436740,A,1,          ,60002694,01803713SKY0F02,,200000
MR,48,2024-10-25 00:10:58,0A,31,IDPMMF,7436740,L,23,          ,60002694,01803713SKY0F02,,50600
MR,49,2024-10-25 00:10:58,64,0,IDPACT,7436741,A,1,          ,60002694,01803727SKY4748,,200000
MR,50,2024-10-25 00:10:58,0A,31,IDPMMF,7436741,L,23,          ,60002694,01803727SKY4748,,50600
MR,51,2024-10-25 00:10:58,64,0,IDPACT,7436742,A,1,          ,60002694,01803329SKY0782,,200000
MR,52,2024-10-25 00:10:58,0A,31,IDPMMF,7436742,L,23,          ,60002694,01803329SKY0782,,50600
MR,53,2024-10-25 00:10:58,64,0,IDPACT,7436743,A,1,          ,60002694,01675098SKY22FF,,200000
MR,54,2024-10-25 00:10:58,0A,31,IDPMMF,7436743,L,23,          ,60002694,01675098SKY22FF,,50600
MR,55,2024-10-25 00:10:58,64,0,IDPACT,7436744,A,1,          ,60002694,01680628SKYF701,,200000
MR,56,2024-10-25 00:10:58,0A,31,IDPMMF,7436744,L,23,          ,60002694,01680628SKYF701,,50600
MR,57,2024-10-25 00:10:58,64,0,IDPACT,7436745,A,1,          ,60002694,01802810SKY615F,,200000
MR,58,2024-10-25 00:10:58,0A,31,IDPMMF,7436745,L,23,          ,60002694,01802810SKY615F,,50600
MR,59,2024-10-25 00:10:59,64,0,IDPACT,7436746,A,1,          ,60002694,01675113SKYDF4A,,200000
MR,60,2024-10-25 00:10:59,0A,31,IDPMMF,7436746,L,23,          ,60002694,01675113SKYDF4A,,50600
MA,61,2024-10-25 00:11:39,96,1,IDPDAT,17845477275,Y,3840,  70002694,60002694,01675020SKYE979,APACRB7,0
MA,62,2024-10-25 00:11:39,96,1,IDPDAT,17845477343,Y,7000,  70002694,60002694,01696790SKYBAAB,APACRB7,0
MA,63,2024-10-25 00:11:39,96,1,IDPDAT,17845477342,Y,7160,  70002694,60002694,01803713SKY0F02,APACRB7,0
MA,64,2024-10-25 00:11:42,96,1,IDPDAT,17845477621,Y,6270,  70002694,60002694,01675120SKY7B6D,APACRB7,0
MA,65,2024-10-25 00:11:45,96,1,IDPDAT,17845477896,Y,6010,  70002694,60002694,01675118SKY7363,APACRB11,0
MA,66,2024-10-25 00:11:53,96,1,IDPDAT,17845478538,Y,6000,  70002694,60002694,01696744SKY01C5,APACRB7,0
MA,67,2024-10-25 00:11:57,96,1,IDPDAT,17845478894,Y,6660,  70002694,60002694,01803727SKY4748,APACRB7,0
MA,68,2024-10-25 00:12:48,96,1,IDPDAT,17845483500,Y,5670,  70002694,60002694,01675078SKYD29B,APACRB7,0
MA,69,2024-10-25 00:12:52,96,1,IDPDAT,17845483895,Y,6690,  70002694,60002694,01675079SKY56A0,APACRB7,0
MA,70,2024-10-25 00:12:57,96,1,IDPDAT,17845484274,Y,6460,  70002694,60002694,01675108SKY4B31,APACRB7,0
MA,71,2024-10-25 00:13:13,96,1,IDPDAT,17845485805,Y,5040,  70002694,60002694,01680677SKY3BF6,APACRB7,0
MA,72,2024-10-25 00:14:10,96,1,IDPDAT,17845490804,Y,7090,  70002694,60002694,01680633SKY8B1A,APACRB7,0
MA,73,2024-10-25 00:14:41,96,1,IDPDAT,17845493654,Y,6070,  70002694,60002694,01680641SKYAB42,APACRB7,0
MA,74,2024-10-25 00:15:26,96,1,IDPDAT,17845497590,Y,6670,  70002694,60002694,01680628SKYF701,APACRB7,0
MA,75,2024-10-25 00:17:27,96,1,IDPDAT,17845508213,Y,7470,  70002694,60002694,01803329SKY0782,APACRB7,0
