sp_id,serial_number,terminal_id,activated,sid,psn,mode,feature_options,profile_id,profile_name,profiles,IP Service Address
122693,01680211SKYEADC,NULL,2021-11-01 05:40:35.920,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680214SKY76EB,NULL,2024-04-08 02:36:37.263,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680215SKYFAF0,NULL,2021-10-05 04:49:45.823,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680218SKY86FF,NULL,2021-09-24 07:59:24.400,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680219SKY0B04,NULL,2021-08-12 08:30:47.670,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680220SKY8F09,NULL,2021-11-01 05:40:36.000,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680222SKY9713,NULL,2021-09-24 07:59:24.320,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680223SKY1B18,NULL,2021-10-05 04:49:45.463,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01680232SKYBF45,NULL,2021-09-24 07:59:23.990,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01689766SKY717B,NULL,2021-09-24 07:59:24.807,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01692440SKY6DB5,NULL,2021-09-24 07:59:25.047,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01692708SKYA2F1,NULL,2021-09-24 07:59:24.697,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01694903SKY99D0,NULL,2021-09-24 07:59:24.620,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01694910SKY35F3,NULL,2021-09-24 07:59:24.890,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01696765SKYD62E,NULL,2021-07-23 06:45:42.073,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01696766SKY5A33,NULL,2020-11-16 07:46:33.500,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01796705SKY0622,NULL,2022-07-01 06:04:04.790,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01796715SKY2E54,NULL,2022-11-28 02:24:56.773,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01796724SKYD281,NULL,2022-08-16 10:02:02.030,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802506SKY9B6F,NULL,2022-07-01 05:52:48.303,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802737SKYBBF2,NULL,2022-02-18 04:26:44.680,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802742SKY500B,NULL,2022-07-01 05:52:47.863,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802753SKYFC42,NULL,2022-11-15 08:11:00.937,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802771SKY449C,NULL,2022-11-28 02:24:56.140,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802772SKYC8A1,NULL,2022-08-16 10:02:02.263,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802776SKYD8B5,NULL,2022-08-16 10:02:01.907,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802779SKY64C4,NULL,2022-04-25 07:44:02.653,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802781SKY6CCE,NULL,2022-11-28 02:24:56.573,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802802SKY4137,NULL,2022-08-16 10:02:02.693,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802805SKYCD46,NULL,NULL,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01802807SKYD550,NULL,2022-11-28 02:24:56.677,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803456SKY85FD,NULL,2022-08-16 10:02:02.450,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803482SKYEE7F,NULL,2022-08-16 10:02:02.527,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803484SKYF689,NULL,2022-08-16 10:02:02.617,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803485SKY7A8E,NULL,2022-08-16 10:02:02.183,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803493SKY9AB6,NULL,2022-08-16 10:02:02.107,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803499SKYB2D4,NULL,2022-06-30 02:06:15.470,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01803500SKY36D9,NULL,2022-08-16 10:02:02.340,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900931SKY81CC,NULL,2023-06-01 07:30:15.340,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900932SKY05D1,NULL,2023-06-01 07:30:15.740,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900933SKY89D6,NULL,2023-07-20 06:55:04.667,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900934SKY0DDB,NULL,2023-07-20 06:55:05.007,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900935SKY91E0,NULL,2023-07-20 06:55:05.093,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900936SKY15E5,NULL,2023-07-20 06:55:05.173,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900937SKY99EA,NULL,2023-07-20 06:55:05.250,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900938SKY1DEF,NULL,2023-07-20 06:55:05.327,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900939SKYA1F4,NULL,2023-07-20 06:55:05.410,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900943SKYB208,NULL,2023-07-20 06:55:05.490,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900944SKY360D,NULL,2023-07-20 06:55:05.567,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900945SKYBA12,NULL,2023-07-20 06:55:05.643,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900946SKY3E17,NULL,2023-07-20 06:55:05.800,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900948SKY4621,NULL,2023-07-20 06:55:05.887,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900950SKY4E2B,NULL,2023-07-20 06:55:05.993,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900951SKYD230,NULL,2023-07-20 06:55:06.087,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900952SKY5635,NULL,2023-07-20 06:55:06.180,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900962SKY7E67,NULL,2023-07-20 06:55:06.310,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900963SKY026C,NULL,2023-07-20 06:55:06.610,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900964SKY8671,NULL,2023-07-20 06:55:06.850,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900966SKY8E7B,NULL,2023-07-20 06:55:06.960,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
122693,01900967SKY1280,NULL,2023-07-20 06:55:07.043,NULL,NULL,IsatData Pro,0x0000000000000002,60002035,"ORBC-Korea",1,NULL
